Typical Measured Spectrum of Semrock NF03-488E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
572.0	0.96115
572.2	0.9627
572.4	0.96433
572.6	0.96491
572.8	0.96528
573.0	0.96505
573.2	0.96334
573.4	0.96088
573.6	0.9577
573.8	0.95542
574.0	0.95382
574.2	0.95317
574.4	0.95249
574.6	0.95226
574.8	0.95311
575.0	0.9552
575.2	0.95752
575.4	0.95971
575.6	0.96079
575.8	0.96065
576.0	0.96066
576.2	0.96022
576.4	0.95979
576.6	0.95778
576.8	0.95576
577.0	0.95347
577.2	0.95262
577.4	0.95325
577.6	0.95412
577.8	0.9546
578.0	0.95587
578.2	0.95808
578.4	0.96052
578.6	0.96277
578.8	0.96398
579.0	0.96421
579.2	0.96301
579.4	0.96184
579.6	0.96043
579.8	0.95901
580.0	0.95726
580.2	0.95449
580.4	0.95283
580.6	0.95175
580.8	0.95313
581.0	0.95471
581.2	0.95639
581.4	0.95785
581.6	0.95968
581.8	0.96179
582.0	0.96355
582.2	0.96468
582.4	0.96418
582.6	0.96269
582.8	0.96044
583.0	0.95865
583.2	0.95662
583.4	0.95522
583.6	0.95361
583.8	0.95207
584.0	0.9518
584.2	0.95331
584.4	0.9557
584.6	0.9579
584.8	0.95959
585.0	0.9611
585.2	0.96265
585.4	0.96368
585.6	0.96432
585.8	0.96354
586.0	0.96212
586.2	0.95953
586.4	0.95679
586.6	0.95483
586.8	0.95378
587.0	0.95266
587.2	0.95223
587.4	0.95108
587.6	0.95145
587.8	0.95323
588.0	0.95464
588.2	0.9568
588.4	0.95701
588.6	0.95724
588.8	0.95754
589.0	0.95731
589.2	0.95694
589.4	0.95605
589.6	0.95464
589.8	0.9528
590.0	0.95146
590.2	0.95206
590.4	0.95304
590.6	0.95439
590.8	0.95532
591.0	0.95666
591.2	0.95866
591.4	0.96108
591.6	0.96298
591.8	0.96456
592.0	0.96428
592.2	0.96338
592.4	0.96134
592.6	0.95988
592.8	0.95817
593.0	0.95635
593.2	0.95454
593.4	0.9528
593.6	0.95208
593.8	0.95252
594.0	0.95364
594.2	0.95615
594.4	0.95848
594.6	0.96072
594.8	0.96326
595.0	0.9656
595.2	0.96798
595.4	0.96862
595.6	0.96897
595.8	0.96783
596.0	0.96545
596.2	0.96323
596.4	0.96127
596.6	0.95948
596.8	0.95798
597.0	0.95639
597.2	0.95514
597.4	0.95476
597.6	0.95561
597.8	0.95708
598.0	0.95905
598.2	0.96007
598.4	0.96084
598.6	0.96221
598.8	0.9626
599.0	0.96289
599.2	0.96217
599.4	0.96124
599.6	0.95933
599.8	0.95732
600.0	0.95527
600.2	0.95459
600.4	0.95398
600.6	0.95452
600.8	0.95399
601.0	0.95447
601.2	0.95531
601.4	0.95715
601.6	0.9588
601.8	0.96059
602.0	0.96094
602.2	0.96103
602.4	0.9602
602.6	0.95939
602.8	0.95893
603.0	0.95775
603.2	0.95685
603.4	0.95518
603.6	0.95352
603.8	0.95265
604.0	0.95337
604.2	0.95434
604.4	0.95593
604.6	0.95708
604.8	0.95828
605.0	0.95949
605.2	0.96137
605.4	0.96288
605.6	0.96379
605.8	0.96401
606.0	0.96332
606.2	0.96208
606.4	0.9607
606.6	0.95919
606.8	0.95834
607.0	0.95744
607.2	0.95691
607.4	0.95659
607.6	0.95637
607.8	0.95728
608.0	0.95925
608.2	0.961
608.4	0.96305
608.6	0.96495
608.8	0.96567
609.0	0.96588
609.2	0.96627
609.4	0.9667
609.6	0.96574
609.8	0.96449
610.0	0.96266
610.2	0.96019
610.4	0.95827
610.6	0.95721
610.8	0.95649
611.0	0.95632
611.2	0.95657
611.4	0.95733
611.6	0.95826
611.8	0.95956
612.0	0.96188
612.2	0.96334
612.4	0.96482
612.6	0.96581
612.8	0.96538
613.0	0.9649
613.2	0.96349
613.4	0.96259
613.6	0.96082
613.8	0.95925
614.0	0.95767
614.2	0.95579
614.4	0.95424
614.6	0.95369
614.8	0.95449
615.0	0.9559
615.2	0.95789
615.4	0.95897
615.6	0.96006
615.8	0.96128
616.0	0.96269
616.2	0.9638
616.4	0.96505
616.6	0.96453
616.8	0.96403
617.0	0.96141
617.2	0.95933
617.4	0.95788
617.6	0.95599
617.8	0.95488
618.0	0.95399
618.2	0.95244
618.4	0.95258
618.6	0.95292
618.8	0.95401
619.0	0.95625
619.2	0.95829
619.4	0.96007
619.6	0.96114
619.8	0.96213
620.0	0.96295
620.2	0.9637
620.4	0.9635
620.6	0.96371
620.8	0.96233
621.0	0.96086
621.2	0.9588
621.4	0.95654
621.6	0.95518
621.8	0.95529
622.0	0.95561
622.2	0.95546
622.4	0.95556
622.6	0.956
622.8	0.95645
623.0	0.95818
623.2	0.96035
623.4	0.9626
623.6	0.96384
623.8	0.96368
624.0	0.96354
624.2	0.96301
624.4	0.96232
624.6	0.96223
624.8	0.96123
625.0	0.96062
625.2	0.95987
625.4	0.95826
625.6	0.95762
625.8	0.95719
626.0	0.958
626.2	0.95904
626.4	0.96043
626.6	0.96114
626.8	0.96148
627.0	0.96166
627.2	0.96214
627.4	0.96301
627.6	0.96324
627.8	0.96257
628.0	0.96235
628.2	0.96111
628.4	0.95904
628.6	0.9571
628.8	0.95587
629.0	0.95577
629.2	0.9556
629.4	0.9557
629.6	0.95524
629.8	0.95565
630.0	0.95526
630.2	0.95691
630.4	0.95814
630.6	0.95975
630.8	0.96111
